ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_37_1,Map 37.1 The Dravidian Languages,.,,,,,steever2019dravidian,,map,
1,Brahui,,,,brah1256,2019,steever2019dravidian,features,feature,map_37_1
2,Gadaba,,,,olla1234,2019,steever2019dravidian,features,feature,map_37_1
3,Gondi,,,,gond1265,2019,steever2019dravidian,features,feature,map_37_1
4,Irula,,,,mudu1245,2019,steever2019dravidian,features,feature,map_37_1
5,Kannada,,,,nucl1305,2019,steever2019dravidian,features,feature,map_37_1
6,Kaodagu,,,,koda1255,2019,steever2019dravidian,features,feature,map_37_1
7,Kolami,,,,kola1242,2019,steever2019dravidian,features,feature,map_37_1
8,Kota,,,,kota1263,2019,steever2019dravidian,features,feature,map_37_1
9,Kui,,,,kuii1252,2019,steever2019dravidian,features,feature,map_37_1
10,Kurux,,,,kuru1302,2019,steever2019dravidian,features,feature,map_37_1
11,Malayalam,,,,mala1464,2019,steever2019dravidian,features,feature,map_37_1
12,Malto,,,,malt1248,2019,steever2019dravidian,features,feature,map_37_1
13,Naiki,,,,naik1250,2019,steever2019dravidian,features,feature,map_37_1
14,Ollari,,,,pott1240,2019,steever2019dravidian,features,feature,map_37_1
15,Savara,,,,sava1244,2019,steever2019dravidian,features,feature,map_37_1
16,Tamil,,,,tami1289,2019,steever2019dravidian,features,feature,map_37_1
17,Teleugu,,,,telu1262,2019,steever2019dravidian,features,feature,map_37_1
18,Toda,,,,toda1252,2019,steever2019dravidian,features,feature,map_37_1
19,Tulu,,,,tulu1258,2019,steever2019dravidian,features,feature,map_37_1
