id,name,year,glottocode,map_name_full,note
1,Brahui,2019,brah1256,Map 37.1 The Dravidian Languages,
2,Gadaba,2019,olla1234,Map 37.1 The Dravidian Languages,
3,Gondi,2019,gond1265,Map 37.1 The Dravidian Languages,
4,Irula,2019,mudu1245,Map 37.1 The Dravidian Languages,
5,Kannada,2019,nucl1305,Map 37.1 The Dravidian Languages,
6,Kaodagu,2019,koda1255,Map 37.1 The Dravidian Languages,
7,Kolami,2019,kola1242,Map 37.1 The Dravidian Languages,
8,Kota,2019,kota1263,Map 37.1 The Dravidian Languages,
9,Kui,2019,kuii1252,Map 37.1 The Dravidian Languages,
10,Kurux,2019,kuru1302,Map 37.1 The Dravidian Languages,
11,Malayalam,2019,mala1464,Map 37.1 The Dravidian Languages,
12,Malto,2019,malt1248,Map 37.1 The Dravidian Languages,
13,Naiki,2019,naik1250,Map 37.1 The Dravidian Languages,
14,Ollari,2019,pott1240,Map 37.1 The Dravidian Languages,
15,Savara,2019,sava1244,Map 37.1 The Dravidian Languages,
16,Tamil,2019,tami1289,Map 37.1 The Dravidian Languages,
17,Teleugu,2019,telu1262,Map 37.1 The Dravidian Languages,
18,Toda,2019,toda1252,Map 37.1 The Dravidian Languages,
19,Tulu,2019,tulu1258,Map 37.1 The Dravidian Languages,
